,Description
711,"February 2015. Anthem, a U.S. health insurance company, is hacked, resulting in the theft of 80 million customers’ personally identifiable information. The information was taken from an unencrypted database. This may have been part of a larger campaign that included the OP M hack. "
712,"February 2015. Media reports say that Canada’s Communication Security Establishment identified “Babar” and “EvilBunny” as malware developed for espionage purposes by the French government. Babar’s primary function is to exfiltrate documents, but it can also log keystrokes, monitor a user’s web history, intercept and record communications made via Skype and messenger programs. "
713,January 2015. A report issued by Germany’s Federal Office for Information Security reveals a German steel mill became the second recorded victim of a cyberattack causing physical destruction. The attack disrupted control systems so severely that a blast furnace could not be properly shut down. The report did not name the steel mill or detail the severity of the damage. 
714,December 2014. Iranian hackers attacked a major Las Vegas casino in retaliation for its owner’s support for Israel. 
715,"December 2014. An Iranian cyber campaign targeted government agencies and critical infrastructure companies in the United States, Canada, Eu rope, the Middle East, and Asia. "
716,November 2014. Sony Pictures Entertainment is hacked with the malware deleting data and the hackers posting online employees’ personal information and unreleased films. An FBI investigation revealed North Korea to be behi nd the attack. 
717,"November 2014. A report by the University of Toronto finds that human rights organizations are routinely hacked by foreign intelligence services, using readily available crime ware as well as specially designed programs, with intrusion lasting for y ears. "
718,November 2014. North Korean hackers attacked a British production company planning to release a television series revolving around the imprisonment of a British nuclear scientist in the DPRK. The attack caused the cancellation of the seri es.   
719,"October 2014. U.S. Postal Service servers are hacked, exposing employees' names, addresses, and Social Security numbers. "
720,"October 2014. The National Oceanic and Atmospheric Administration (NOAA) at the U.S. Department of Commerce is hacked, skewi ng the accuracy of some National Weather Service forecasts, according to NOAA. "
721,"October 2014. The Department of State reports breaches of its unclassified networks, and shut down its entire unclassified email system to repair possible damage. A month late r, “suspicious cyber activity” was noticed on a White House computer network, but the White House said that no classified networks had been breached. "
722,"October 2014. Chinese users are redirected to a false iCloud login page that monitors their activities, putting their iCloud usernames, passwords, files, and contacts at risk. "
723,"October 2014. Ten percent of Dairy Queen outlets are hacked and customer credit card data compromised. Like the Target hack, hackers reportedly exploited a third party system to obta in access. "
724,"October 2014. A five -year cyber espionage campaign attributed to Russia exploits a zero -day vulnerability in Windows software on computers used by NATO, the EU and the Ukrainian government. "
725,October 2014. Australian mining and natural resources companies and their associated legal and financial advisors attacked during sensitive business negotiations. 
726,"September 2014. A false Occupy Central smartphone app with audio recording capabilities, likely of Chinese origin, targets Hong Kong protestors and accesses users' l ocations, call and message logs, and browser histories. "
727,"September 2014. Using fraudulently obtained certificate, cyber criminals obtain access to 300 government and company websites in Germany, Austria and Switzerland in a multiyear operation. Septembe r 2014. Home Depot reports a server breach affecting 56 million debits cards in the U.S. and Canada. "
728,August 2014. Community Health Systems disclosed that suspected Chinese hackers infiltrated its network and stole personal information from 4.5 million patients 
729,August 2014. The contractor responsible for security clearances at DHS has their networks hacked and employee personal information is compromised. This was one of the first steps in the 2015 OPM hack. 
730,"July 2014. Hackers in Eastern Europe breac hed energy sectors in the U.S., Spain, France, Italy,   Germany, Turkey, and Poland in a major cyberespionage campaign. "
731,July 2014. U.S. Office of Personnel Management networks that contain information on thousands of applicants for top secret clearances ar e breached. 
732,"July 2014. Canada’s Foreign Minister asks his Chinese counterpart about PLA cyber espionage against the National Research Council, Canada’ leading technology research agency. "
733,June 2014. CrowdStrike reported that Unit 61398 had targeted U.S. corporations in the satellite industry 
734,"May 2014. Alleged Chinese hackers posed as C -Suite executives in a spear phishing campaign to access the network of Alcoa. The hackers stole 2,907 emails and 863 attachments. "
735,"May 2014. Chinese military hackers ta rgeted six American companies in the power, metals, and solar production industries and stole trade secret information. The U.S. Department of Justice indicted them and identified them as members of the People’s Liberation Army Unit 61398 "
736,April 2014. An Iranian hacking group conducted a campaign of espionage attacks against the U.S. industrial base and also targets inside Iran. 
737,"March 2014. Indian Army and DRDO computers (Defense Research and Development Organization) were hacked, and the Indian government warned that the spyware could read the files of computers not even connected to internet. "
738,"March 2014. The OPM contractor responsible for U.S. security clearance background investigations is breached, allegedly by Chinese hackers. "
739,"March 2014. Cybercriminals steal 40 million credit card numbers from Target, with an additional 70 million accounts compromised. "
740,January 2014. Hackers targeted 28 embassies in Tehran using emails about the Syrian conflict that contained a new data -mining malware. 
741,November 2013. Finland's Foreign Minister reports that hackers breached Finland's diplomatic communications for several. 
742,"October 2013. Federal prosecutors announce Vietnamese cyber criminals obtained as many as 200 million personal records, in cluding Social Security numbers, credit card data, and bank account information. "
743,"October 2013. Press reports based on Snowden leaks reveal NSA hacked into German Chancellor Merkel’s mobile phone, one of a larger series of leaks on NSA activities. "
744,September 2013. The U.S. Navy says that Iran hacked into unclassified networks. 
745,"September 2013. Chinese hackers used malware, known as ‘Sykipot’, to target entities in the U.S. Defense Industries and companies in key industries such as: telecommunications, c omputer   hardware, government contractors, and aerospace. In mid -2013 they targeted the U.S. civil aviation sector. "
746,"September 2013. Chinese hackers targeted three U.S. organizations, including a large American oil and gas corporation "
747,"September 2013. North Korea again hacks South Korean targets, including think tanks, the South Korean Ministry of Defense, and Koreans defense industry firms. "
748,August 2013. The Syrian Electronic Army hijacks and reroutes major Western social media and media sites to a mali cious hosting site in Russia. 
749,August 2013. A massive DDOS takes down China’s .cn country code top level domain for several hours. 
750,June 2013. PLA hackers infiltrated the computer networks of the U.S. Transportation Command and stole sensitive military i nformation 
751,June 2013. The FBI charged five Ukrainian and Russian hackers with stealing over 160 million credit card numbers and causing hundreds of millions in losses. 
752,June 2013. The U.S. and Russia sign a bilateral agreement that establishes a hotline and other confidence building measures. 
753,"June 2013. Edward Snowden, a former systems administrator at the NSA, reveals documents showing among other things that the US conducted cyber espionage against Chinese targets. "
754,May 2013. An alleged Chinese hacker steals the blueprints for the Australian Security Intelligence Organization’s new $631 million building. 
755,May 2013. Israeli officials report a failed attempt by the Syrian Electronic Army to compromise water supply to the city of H aifa. 
756,"May 2013. DHS reports that the U.S. electrical grid is constantly being probed by multiple actors, including Iran. "
757,"May 2013. India is believed to have used a zero -day exploit to penetrate Pakistani mining, automotive, legal, engineering, food service, military, and banks. "
758,"May 2013. The Syrian Electronic Army claims to have breached the Saudi Arabian Ministry of Defense email system, and leaked several confidential emails. "
759,"May 2013. Over the course of the month, unknown hac kers breached major automotive parts suppliers in North American and Europe. "
760,"May 2013. Anonymous’ Saudi branch launches OpSaudi and takes down government web sites, including the Ministry of Foreign Affairs, Ministry of Finance, and the General Intellige nce Presidency via DDos attack.   "
761,"May 2013. The U.S. identified a gang of eight hackers who extracted $45 million from banks in the UAE and Oman. The attacks eliminated the withdrawal limits on prepaid debit cards, permitting the hackers to withdraw massiv e amounts. "
762,May 2013. An unknown attacker utilized a DDoS attack to bring down the website of the Iranian Basij military branch (basij.ir). 
763,"May 2013. Chinese hackers compromise the U.S. Department of Labor and at least nine other agencies, including the Agency for International Development and the Army Corps of Engineers’ National Inventory of Dams. "
764,"April 2013. A Russian internet security firm announced that they discovered malware on millions of android mobile devices, primarily in Russia and Russian speaking countries. "
765,"March 2013. The Syrian Electronic Army, a pro -Assad hacktivist group, hacked into major Western media organizations as part of a propaganda campaign. "
766,"March 2013. Beginning in 2012, Chinese hackers targeted civilian and military maritime operations within the South China Sea, in addition to U.S. companies involved in maritime satellite systems, aerospace companies and defense contractors "
767,"March 2013. The Indian Defence Research Organization was hacked, with thousands of documents uploaded to a server with an IP address in Guangdong, China. "
768,March 2013. North Korea blames the United States and South Korea for a series of attacks that severely restricted Internet access in the country. 
769,March 2013. South Korean television networks and banks were attacked with malware (designed to evade popular South Korean anti -virus software) thought to have originated in North Korea. 
770,"February 2013. DHS says that between December 2011 and June 2012, cyber criminals targeted 23 gas pipel ine companies and stole information that could be used for sabotage purposes. Forensic data suggests the probes originated in China. "
771,February 2013. Der Spiegel reveals that EADS and German steelmaker ThyssenKrupp recorded major attacks by Chinese hackers in 2012. 
772,"January 2013. The New York Times, Wall Street Journal, Washington Post, and Bloomberg News experience persistent cyberattacks, presumed to originate in China. "
773,"January 2013. The Japanese Ministry of Foreign Affairs (MOFA discovers it has been ha cked and has lost “at least” twenty documents, including highly classified documents. "
774,"January 2013. Iran’s Izz ad -Din al -Qassam claims responsibility for another series of distributed denial -of-service attacks against US Bank websites, as part of Operation Ababil phase two. "
775,"January 2013. A Defense Science Board report found that Chinese hackers stole U.S. weapons systems designs including for the PAC -3, THAAD, Aegis, F/A -18 fighter jet, V -22 Osprey, Black   Hawk, and Littoral Combat Ship "
776,December 2012. Al-Qaida websites are taken offline for two weeks. 
777,December 2012. Two power plants in the U.S. were infected through unprotec ted USB drives. 
778,"October 2012. A Russian cybersecurity firm found a virus used against embassies, research firms, military installations, energy providers, and critical infrastructure in Eastern Europe, Russia, and Central Asia. "
779,"September 2012. Izz ad -Din al -Qassam, a hacker group linked to Iran, launched “Operation Ababil” targeting bank websites for sustained denial -of-service attacks. Targets include Bank of America, New York Stock Exchange, Chase Bank, Capital One, SunTrust, a nd Regions Bank. "
780,"September 2012. Chinese hackers infiltrated Telvent Canada, an industrial automation company, and stole data related to SCADA systems throughout North America "
781,"August 2012. A group called ""Cutting Sword of Justice"" linked to Iran claime d it has used the “Shamoon” virus to attack Aramco, a major Saudi oil supplier, deleting data on 30,000 computers and infecting (without causing damage) control systems. The attack also affected the Qatari company RasGas, a major LNG supplier. "
782,"August 2012. Malware nicknamed “Gauss,” infected 2,500 systems worldwide. Gauss appears to have been aimed at Lebanese banks, and contains code whose encryption has not yet been broken. "
783,"July 2012. Regarded as the largest attack on Indian government networks, over 10,000 email addresses of top Indian government officials were hacked, including officials in the Prime Minister’s Office, Defense, External Affairs, Home, and Finance ministries, as well as intelligence agencies. India blames the attack on state actors. "
784,July 2012. NSA Director General Keith Alexander said that there had been a 17 -fold increase in cyber incident at American infrastructure companies between 2009 and 2011. 
785,"July 2012. Indian naval officials confirmed that a virus had collected data from sensitive computer systems at the country’s Eastern Naval Command headquarters and sent the data to Chinese IP addresses. The virus allegedly entered the Navy’s network via infected USB drives, which were used to transfer data from standalone computers hol ding sensitive files to networked systems. "
786,"July 2012. A Trojan nicknamed “Mahdi” found gathering data from approximately 800 critical infrastructure engineering firms, government agencies, financial houses, and academia throughout the Middle East and bey ond, predominantly in Israel and Iran. The virus contains Persian language strings. "
787,June 2012. The head of the UK Security Service stated that a London -listed company lost an estimated £800m ($1.2 billion) as a result of state cyberattacks. 
788,June 2012. A global fraud campaign using automated versions of SpyEye and Zeus Trojans targeted high -value personal and corporate accounts and bypassed two -factor authentication.   
789,June 2012. A phishing campaign targets the U.S. aerospace industry experts attending t he 2013 IEEE Aerospace Conference. 
790,"June 2012. PLA Unit 61398 attacked Digital Bond, a SCADA security company with a spear phishing attack "
791,"June 2012. DHS reported that between December 2011 and June 2012, hackers targeted 23 gas pipeline companies and stole information that could be used for sabotage purposes. Forensic data suggests the probes originated in China "
792,"May 2012. Researchers at the University of Toronto report that versions of the installer for the proxy tool Simurgh, which an onymizes net use and is popular in countries such as Iran and Syria to circumvent government internet controls, also installs a keylogger Trojan which sends the user name, keystrokes, and program use to another site. "
793,"May 2012. An espionage toolkit named “Flame” is discovered in computers in the Iranian Oil Ministry, as well as in other Middle Eastern countries, including Israel, Syria, and Sudan, and other nations around the world. "
794,May 2012. UK officials told the press that there had been a small number of successful perpetrations of classified MOD networks. 
795,"April 2012. A hack of Japan's Ministry of Agriculture, Forestry, and Fisheries resulted in more than 3,000 documents exfiltrated to a foreign destination, including 20 classified documents on negotiations on the Trans -Pacific Partnership (a broad free -trade agreement). According to press reports, the hackers searched Ministry computers for TPP documents, transferred all that were found to a single computer, and then compressed them to make the m easier to send. "
796,"April 2012. Iran was forced to disconnect key oil facilities after a cyberattack against internal computer systems. The malware was found inside the control systems of Kharg Island – Iran’s main oil exporting terminal. Equipment at Khar g Island and at other Iranian oil plants was disconnected from the internet as a precaution. Iran reported that oil production was not affected, but the websites of the Iranian oil ministry and national oil company were forced offline and data about users of the sites was taken as a result of the attack. "
797,"March 2012. The U.S. Department of Homeland Security issued amber alerts warning of a cyber - intrusion campaign on U.S. gas pipelines, dating back to December 2011. Press reports indicated that Industrial Control Systems Cyber Emergency Response Team (ICS -CERT) described the attack as a sophisticated spear phishing campaign emanating from a single source. "
798,March 2012. India’s Minister for Communications and Information Technology revealed in a written rep ly to a Parliamentary question that 112 government websites had been compromised from December 2011 to February 2012. Most of the incidents involved website defacement and many of the hacks appeared to originate in Pakistan. 
799,"March 2012. The BBC reported a ""sophisticated cyber -attack"" in an effort to disrupt the BBC   Persian Language Service. The attack coincided with efforts to jam two BBC satellite feeds to Iran. The BBC’s Director General blamed Iran for the incident. "
800,"March 2012. NASA’s Inspector Gener al reported that 13 APT attacks successfully compromised NASA computers in 2011. In one attack, intruders stole 150 user credentials that could be used to gain unauthorized access to NASA systems. Another attack at the Joint Propulsion Laboratory involvin g China -based IP let the intruders gain full access to key JPL systems and sensitive user accounts. "
801,"March 2012. Trend Micro uncovered a Chinese cyber campaign, dubbed ‘Luckycat’ that targeted U.S.-based activists and organizations, Indian and Japanese mi litary research, as well as Tibetan activists "
802,February 2012. Media reports say that Chinese hackers stole classified information about the technologies onboard F -35 Joint Strike Fighters. 
803,"December 2011. U.S. Chamber of Commerce computer networks were c ompletely penetrated for more than a year by hackers who, according to press reports, had ties to the People’s Liberation Army. The Hackers had access to everything in Commerce’s computers, including member company communications and industry positions on U.S. trade policy. "
804,"November 2011. Norway’s National Security Agency (NSM) reports that at least 10 major Norwegian defense and energy companies were hacked. The attacks were specifically ""tailored"" for each company, using an email phishing scheme. NSM sa id that the attacks came when the companies, mainly in the oil and gas sectors, have been involved in large -scale contract negotiations. The hacking occurred over the course of 2011, with hackers gaining access to confidential documents, industrial data, u sernames and passwords. "
805,"November 2011. According to a major U.S. news source, Chinese hackers interfered with two satellites belonging to NASA and USGS. "
806,"November 2011. Apple computers belonging to European Commission officials, including EC Vice Presid ent for the “Digital Agenda,” were hacked at an Internet Governance Forum (IGF) meeting in Azerbaijan. "
807,"October 2011. Networks of 48 companies in the chemical, defense, and other industries were penetrated for at least six months by a hacker looking for intellectual property. Some of the attacks are attributed to computers in Hebei, China. "
808,"September 2011. A computer virus from an unknown source introduced “keylogger” malware onto ground control stations for US Air Force UAVs and, according t o press reports, infected both classified and unclassified networks at Creech Air Force Base in Nevada. The US did not lose control of any drone nor does it appear that any data was exfiltrated, but the malware was persistent and took several attempts to r emove. "
809,"September 2011. Australia’s Defense Signals Directorate says that defense networks are attacked more than 30 times a day, with the number of attacks increasing by more than 350 percent by 2009.   "
810,"September 2011. Unknown attackers hacked a Dutch cert ificate authority, allowing them to issue more than 500 fraudulent certificates for major companies and government agencies. The certificates are used to verify that a website is genuine. By issuing a false certificate, an attacker can pretend to be a secu re website, intercept e -mail, or install malicious software. This was the second hack of a certificate authority in 2011. "
811,August 2011. Email and documents from 480 members of the Japanese Diet and lawmakers and their staff were compromised for a month af ter a phishing attack implanted a Trojan on members’ computers and Diet servers. The hijacked machines communicated with a server in China and the attackers included Chinese characters in their code. 
812,"August 2011. According to sources in the Japanese gove rnment, Mitsubishi Heavy Industries and twenty other Japanese defense and high tech firms were the target of an effort to extract classified defense information. Japanese officials believed the exploits all originated from the same source. The intruder use d email with a malicious attachment whose contents were the same as a legitimate message sent 10 hours earlier. "
813,"August 2011 . Chinese hackers engaged in a series of cyber -attacks against 72 entities, including multiple U.S. government networks "
814,"July 2011 . South Korea said hackers from China had penetrated an internet portal and accessed phone numbers, e -mail addresses, names and other data for 35 million Koreans. "
815,"July 2011. The German Bundespolizei (Federal Police) and the Bundeszollverwaltung (Federal Customs Service) discovered that servers used to locate serious criminals and terrorism suspects by gathering information from GPS systems in cars and mobile phones were penetrated (using a phishing attack) as early as 2010. Following the cyberattack, the relevant servers had to be temporarily shut down to prevent further data losses. "
816,"July 2011. In a speech unveiling the Department of Defense’s cyber strategy, the Deputy Secretary of Defense mentioned that a defense contractor was hacked and 24,000 files from the DOD were stolen. "
817,"June 2011. Citibank reported that credit card data for 360,000 of its customers were exfiltrated using a relatively simple manipulation of URLs. "
818,"June 2011. The IMF’s networks were reportedly compromised by a foreign government using fraudulent emails with malware attachments, and a “large quantity of data, including documents and e -mails,” are exfiltrated. "
819,May 2011. Cybercriminals masquerading as members of the hacktivist group “Anonymous” penetrated the PlayStation network. Sony estimated that personal information for more than 80 million users was compromised and that the cost of the breach was over $170 million. 
820,April 2011. Employees at Oak Ridge National Laboratory received bogus emails with malware attachments. Two mach ines were infected and “a few megabytes” of data were extracted before the Lab was able to cut its internet connection. Oak Ridge was the target of an intrusion in 2007.   
821,"April 2011. Google reported a phishing effort to compromise hundreds of Gmail passwords for accounts of prominent people, including senior U.S. officials. Google attributes the effort to China. "
822,April 2011. Hackers used phishing techniques in attempt to obtain data that would compromise RSA’s SecureID authentication technology. The data acquired was then used in an attempt to penetrate Lockheed Martin’s networks. 
823,"April 2011. Between March 2010 and April 2011, the FBI identified twenty incidents in which the online banking credentials of small -to-medium sized U.S. businesses were compromised and used to initiate wire transfers to Chinese economic and trade companies. As of April 2011, the total attempte d fraud amounts to approximately $20 million; the actual victim losses are $11 million. "
824,March 2011. Hackers penetrated French government computer networks in search of sensitive information on upcoming G -20 meetings. 
825,March 2011. The European Commission and EU’s External Action Service are both targeted in a widespread espionage effort just before a major EU summit. Hackers were apparently very interested in documents related to the G20 summit being held in Paris that year. 
826,"January 2011. The Canadian g overnment reported a major cyberattack against its agencies, including Defence Research and Development Canada, a research agency for Canada's Department of National Defence. The attack forced the Finance Department and Treasury Board, Canada’s main econom ic agencies, to disconnect from the internet. Canadian sources attribute the attack to China. "
827,January 2011. Hackers extracted $6.7 million from South Africa's Postbank over the New Year's Holiday. 
828,"January 2011. Hackers penetrated the European Union's c arbon trading market, which allows organizations to buy and sell their carbon emissions quotas, and steal more than $7 million in credits, forcing the market to shut down temporarily. "
829,"December 2010. India’s Central Bureau of Investigation (CBI) website ( cbi.nic.in) was hacked and data erased. India blames Pakistani hackers. Sensitive CBI data, stored on computer not easily accessible from the Internet, was unaffected. "
830,"December 2010. British Foreign Minister William Hague reported attacks by a foreign po wer on the Foreign Ministry, a defense contractor and other “British interests” that evaded defenses by pretending to come from the White House. "
831,"October 2010. Australia’s Defence Signals Directorate reported a huge increase in cyberattacks on the militar y. Australia’s Defence Minister, john Faulkner, revealed there had been 2400 “electronic security incidents” on Defence networks in 2009 and 5551 incidents between January and August 2010.   October 2010. The Wall Street Journal reported that hackers using “Zeus” malware, available in cybercrime black markets for about $1200, were able to steal over $12 million from five banks in the US and UK. Zeus uses links in emails to steal account information, which the hackers then use to transfer money into bank acc ounts they control. 100 “mules”, or low end criminals, were arrested for opening bank accounts under false names into which the hackers transferred stolen money. "
832,"October 2010. Stuxnet, a complex piece of malware designed to interfere with Siemens Industr ial Control Systems, was discovered in Iran, Indonesia, and elsewhere, leading to speculation that it was a government cyber weapon aimed at the Iranian nuclear program. "
833,"October 2010. Public facing networks run by NASDAQ, as well as an information sharin g application called Directors Desk, are compromised by an unknown external group. NASDAQ says it is unsure how far hackers might have penetrated into their network. "
834,"July 2010. A Russian intelligence agent (allegedly named Alexey Karetnikov), was arreste d and deported after working for nine months as a software tester at Microsoft. "
835,"May 2010. A leaked memo form the Canadian Security and Intelligence Service (CSIS) says that “Compromises of computer and combinations networks of the Government of Canada, Canadian universities, private companies and individual customer networks have increased subs tantially.... In addition to being virtually un -attributable, these remotely operated attacks offer a productive, secure and low -risk means to conduct espionage.” "
836,May 2010. Chinese hackers breached the computer network of the U.S. Chamber of Commerce and stole information related to U.S. industries 
837,"April 2010. A Chinese telecommunications firm accidently transmitted erroneous routing information for roughly 37,000 networks, causing internet traffic to be misrouted through China. The incident lasted 20 minutes and exposed traffic from more than 8,000 U.S. networks, 8,500 Chinese networks, 1 ,100 Australian networks and 230 French networks. "
838,"April 2010. Chinese hackers reportedly broke into classified files at the Indian Defence Ministry and Indian embassies around the world, gaining access to Indian missile and armament systems. "
839,"March 2010 . Unknown hackers post the real incomes of Latvian government officials after accessing their tax records, creating political turmoil. "
840,March 2010. Australian authorities said there were more than 200 attempts to hack into the networks of the legal defens e team for Rio Tinto executives being tried in China to gain inside information on the trial defense strategy. 
841,"March 2010. Google announced that it had found malware targeting Vietnamese computer users. Google said that the malware was not especially sop histicated and was used to spy on “potentially tens of thousands of users who downloaded Vietnamese keyboard language software” the malware also launched distributed denial of service attacks against blogs containing political dissent, specifically, opposi tion to bauxite mining efforts in Vietnam.   "
842,"March 2010. NATO and the EU warned that the number of cyberattacks against their networks had increased significantly over the past 12 months, with Russia and China among the most active adversaries."
843,"January 2010. Intel disclosed that it experienced a cyberattack at about the same time that Google, Adobe, and others were attacked. The hackers exploited the vulnerabilities in Internet Explorer software that had been used in the other attacks as well. Intel said that there was no intellectual property or financial loss. "
844,"January 2010. A group named the “Iranian Cyber Army” disrupted service of the popular Chinese search engine Baidu. Users were redirected to a page showing an Iranian political message. Previously , the “Iranian Cyber Army” had hacked into Twitter in December with a similar message. "
845,"January 2010. M. K. Narayanan, India’s National Security Adviser, said his office and other government departments were attacked by China on December 15. The Prime Min ister’s office later denied that their computers had been hacked. Narayanan said this was not the first attempt to penetrate Indian government computers. "
846,"January 2010. Global financial services firm Morgan Stanley experienced a ""very sensitive"" break -in to its network by the same China -based hackers who attacked Google Inc.’s computers in December 2009, according to leaked e -mails from a cyber -security company working for the bank. "
847,"January 2010. Google announced that a sophisticated attack had penetrat ed its networks, along with the networks of more than 30 other US companies. The goal of the penetrations, which Google ascribed to China, was to collect technology, gain access to activist Gmail accounts and to Google’s Gaea password management system. "
848,January 2010. The UK’s MI5 Security Service warned that undercover intelligence officers from the People’s Liberation Army and the Ministry of Public Security have approached UK businessmen at trade fairs and exhibitions with the offer of “gifts” - cameras and memory sticks - which contain malware that provides the Chinese with remote access to users’ computers. 
849,"January 2010 . The PLA infiltrated the computer network of a Civilian Reserve Air Fleet (CRAF) contractor in which documents, flight details, credentials and passwords for encrypted email were stolen "
850,"December 2009. Downlinks from U.S military UAVs were hacked by Iraqi insurgents using laptops and $24.99 file sharing software, allowing them to see what the UAV had viewed. "
851,"December 2009. The W all Street Journal reported that a major U.S. bank had been is hacked, losing tens of millions of dollars. "
852,"November 2009. Jean-Pascal van Ypersele, the vice -chairman of the United Nations’ Intergovernmental Panel on Climate Change, ascribed the hacking a nd release of thousands of emails, from the University of East Anglia's Climatic Research Unit to Russia as part of a plot to undermine the Copenhagen climate talks.   "
853,"August 2009. Ehud Tenenbaum was convicted of stealing $10 million from U.S. banks. Tenen baum was known for hacking into DOD computers in 1998, which resulted in a sentence of six months of community service from an Israeli court. "
854,"August 2009. Albert Gonzalez was indicted on charges that between 2006 and 2008, he and unidentified Russian or Ukrainian colleagues allegedly stole more than 130 million credit and debit cards by hacking into the computer systems of five major companies. This was the largest hacking and identity theft crime in U.S. history. "
855,"July 2009. Cyberattacks agai nst websites in the United States and South Korea, including a number of government websites, were launched by unknown hackers. South Korea accused North Korea of being behind the attacks The denial of service attacks did not severely disrupt services but lasted for a number of days and generated a great deal of media attention. "
856,"June 2009. German Interior Minister Wolfgang Schaeuble noted, when presenting the Interior Ministry's 2008 security report, that China and Russia were increasing espionage efforts and Internet attacks on German companies. "
857,"June 2009. The John Hopkins University’s Applied Physics Laboratory, which does classified research for the Department of Defense and NASA, took its unclassified networks offline after they were penetrated. "
858,"May 2009. The Homeland Security Information Network (HSIN) was hacked by unknown intruders. The hackers gained access to the data by getting into the HSIN account of a federal employee or contractor. The bulk of the data obtained was federal, but some state information was also accessed. "
859,"May 2009. In May 2009, Merrick Bank, a leading issuer of credit cards, claimed it lost $16 million after hackers compromised as many as 40 million credit card accounts. "
860,April 2009. Chinese hackers reportedly infiltrated S outh Korea’s Finance Ministry via a virus attached to e -mails claiming to be from trusted individuals. 
861,April 2009. Prime Minister Wen Jiabao announced that hacker from Taiwan accessed a Chinese State Council computer containing drafts of his report to th e National Peoples Congress. 
862,April 2009. Wall Street Journal articles laid out the increasing vulnerability of the U.S. power grid to cyberattack also highlighted was the intrusions into F -35 databases by unknown foreign intruders. 
863,"March 2009. Reports in the press say that the plans for Marine Corps 1, the new presidential helicopter, were found on a file -sharing network in Iran. "
864,March 2009. Canadian researchers found a computer espionage system that they believe China implanted on the government networks of 103 countries. 
865,March 2009. The German government warned that hackers were offering a free version of the   new Microsoft operating system that installs Trojans. 
866,March 2009. Chinese hackers stole information from the Office of Senator Bill Nelson in Florida 
867,"March 2009. Chinese hackers infiltrated Coca -Cola Co. computer networks and stole trade secret information, including information related to the attempted $2.4 billion acquisition of Huiyuan Juice Group "
868,February 2009. French naval aircraft planes were grounded after military databases were infected with the “confickr” virus. Naval officials suspected someone in the Navy had used an infected USB key. 
869,February 2009. 600 computers at India’s Ministry of External Affairs were hacked. 
870,February 2009. FAA computer systems were hacked. Increased use by FAA of IP -bases’ networks also increases the risk of the intentional disruption of commercial air traffic. 
871,January 2009. Indian Home Ministry officials warned that Pakistani hackers had placed malware on popular music download sites used by Indians in preparation for cyberattacks. 
872,"January 2009. Hackers attacked Israel’s internet infrastructure during the January 2009 military offensive in the Gaza Strip. The attack , which focused on government websites, was executed by at least 5,000,000 computers. Israeli officials believed the attack was carried out by a criminal organization from the former Soviet Union, and paid for by Hamas or Hezbollah. "
873,December 2008. Britain’s MPs w ere warned about e -mails apparently sent by the European Parliament amid fears that they could be used by Chinese hackers to implant viruses. 
874,December 2008. Even tiny CSIS was hacked in December by unknown foreign intruders. They probably assumed that so me CSIS staff would go into the new administration and may have thought it might be interesting to read their emails beforehand. 
875,December 2008. Retail giant TJX was hacked. The one hacker captured and convicted (Maksym Yastremskiy) is said to have made $ 11 million from the hack. 
876,"November 2008. Classified networks at DOD and CENTCOM were hacked by unknown foreign intruders. Even worse, it took several days to dislodge the intruders and re -secure the networks. "
877,"November 2008. Hackers breached networks at Royal Bank of Scotland’s WorldPay, allowing them to clone 100 ATM cards and withdraw over $9 million dollars from machines in 49 cities. "
878,November 2008. Chinese hackers infiltrated the computer networks of three major oil companies and stole t rade secret information. 
879,November 2008. Chinese hackers infiltrated the networks of Barack Obama and John McCain’s presidential campaigns and exfiltrated information about future policy agendas. 
880,November 2008. Chinese hackers infiltrated the computer n etwork of the White House and   obtained emails between senior government officials 
881,"October 2008. Police discovered a highly sophisticated supply chain attack where credit card readers made in China and used in UK supermarkets had a wireless device insert ed in them. The device copies a credit card when it is inserted, stores the data, and transfers the data it has collected once a day via WiFi connection to Lahore, Pakistan. Estimated loss is $50 million or more. The device could be instructed to collect o nly certain kinds of cards (such as gold cards), or to go dormant to evade detection. "
882,"August 2008. Computer networks in Georgia were hacked by unknown foreign intruders, most likely at the behest of the Russian government. Much press attention was given to annoying graffiti on Georgian government websites. There was little or no disruption of services but the hacks did put political pressure on the Georgian government and were coordinated with Russian military actions. "
883,"July 2008. Marathon Oil, ExxonMo bil, and ConocoPhillips were hacked and lost data detailing the quantity, value, and location of oil discoveries around the world. One company put the losses in the millions. "
884,July 2008. The databases of both Republican and Democratic presidential campa igns were hacked and downloaded by unknown foreign intruders. 
885,June 2008. The networks of several Congressional offices were hacked by unknown foreign intruders. Some infiltrations involved offices with an interest in human rights in Tibet. 
886,May 2008. The Times of India reported that an Indian official accused China of hacking into government computers. The official stated that the core of the Chinese assault is the scanning and mapping of India’s official networks to gain access to content in order to pl an how to disable or disrupt networks during a conflict. 
887,May 2008. Belgium’s Justice Minister China of hacking Belgian governmental computer networks. 
888,"April 2008. Germany’s BND is accused of hacking Afghanistan's Commerce Minister and Ministry of Comme rce and Industry networks, gaining access to internal email accounts and exfiltrating documents. "
